WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
0.0,260.12,0.0,0.0,11.5,23.07,21.13
0.0,197.71,0.0,0.0,11.7,21.13,18.87
0.0,138.96,2.5,0.0,12.0,18.87,17.94
0.0,315.0,13.95,0.0,14.8,17.94,17.59
0.0,275.46,25.4,0.0,14.8,17.59,15.58
0.0,359.33,0.0,0.0,16.5,15.58,14.05
0.0,363.58,0.0,0.0,13.0,14.05,12.6
0.0,374.58,0.0,0.0,12.7,12.6,10.41
0.0,341.08,0.0,0.0,12.6,10.41,8.53
0.0,109.5,2.5,0.0,5.0,8.53,7.95
0.0,228.54,2.5,0.0,2.8,7.95,7.79
0.0,349.96,0.0,0.0,5.0,7.79,7.43
0.0,358.08,0.0,0.0,11.1,7.43,6.96
0.0,341.46,0.0,0.0,14.2,6.96,6.05
0.0,366.21,0.0,0.0,15.6,6.05,4.71
0.0,367.08,0.0,0.0,17.3,4.71,3.97
0.0,353.0,0.0,0.0,17.7,3.97,3.5
0.0,380.29,0.0,0.0,13.7,3.5,2.97
0.0,375.62,0.0,0.0,14.7,2.97,2.51
0.0,369.5,0.0,0.0,16.5,2.51,2.38
0.0,362.92,0.0,0.0,15.7,2.38,2.3
0.0,367.04,0.0,0.0,12.8,2.3,1.82
0.0,365.88,0.0,0.0,7.4,1.82,1.68
0.0,181.54,10.2,0.0,3.4,1.68,1.49
0.0,117.79,5.1,0.0,4.8,1.49,2.17
0.0,315.29,0.0,0.0,10.9,2.17,3.05
0.0,157.0,0.0,0.0,7.8,3.05,2.81
0.0,351.29,0.0,0.0,9.2,2.81,2.39
0.0,351.88,0.0,0.0,11.3,2.39,2.04
0.0,237.67,17.8,0.0,11.0,2.04,1.56
0.0,197.08,0.0,0.0,7.0,1.56,1.63
0.0,304.38,0.0,0.0,9.5,1.63,2.79
0.0,355.62,0.0,0.0,12.5,2.79,2.67
0.0,359.25,0.0,0.0,15.1,2.67,2.61
0.0,327.21,0.0,0.0,14.3,2.61,2.6
0.0,249.96,2.5,0.0,10.9,2.6,2.22
0.0,214.0,2.5,0.0,9.9,2.22,1.91
0.0,329.88,0.0,0.0,13.5,1.91,1.99
0.0,350.33,2.5,0.0,15.8,1.99,2.0
0.0,337.12,0.0,0.0,14.3,2.0,1.85
0.0,355.42,0.0,0.0,11.3,1.85,1.9
0.0,320.58,0.0,0.0,11.4,1.9,1.9
0.0,326.62,0.0,0.0,14.9,1.9,1.81
0.0,199.62,0.0,0.0,15.4,1.81,1.73
0.0,256.38,0.0,0.0,15.1,1.73,1.77
0.0,343.42,0.0,0.0,16.6,1.77,1.77
0.0,348.33,0.0,0.0,16.4,1.77,1.75
0.0,330.71,0.0,0.0,14.7,1.75,1.62
0.0,256.33,0.0,0.0,13.8,1.62,1.57
0.0,297.71,0.0,0.0,12.8,1.57,1.48
0.0,260.54,0.0,0.0,12.7,1.48,1.54
0.0,289.5,0.0,0.0,10.9,1.54,1.5
0.0,363.29,0.0,0.0,9.1,1.5,1.43
0.0,363.88,0.0,0.0,13.0,1.43,1.36
0.0,359.71,0.0,0.0,17.6,1.36,1.38
0.0,294.67,0.0,0.0,20.3,1.38,1.44
0.0,346.75,0.0,0.0,19.5,1.44,1.23
0.0,344.79,2.5,0.0,11.9,1.23,1.06
0.0,358.58,0.0,0.0,16.1,1.06,1.26
0.0,342.33,0.0,0.0,20.2,1.26,1.45
0.0,340.38,0.0,0.0,15.3,1.45,1.3
0.0,344.21,0.0,0.0,14.5,1.3,1.0
0.0,341.5,0.0,0.0,17.3,1.0,0.98
0.0,327.83,0.0,0.0,17.2,0.98,0.84
0.0,337.5,0.0,0.0,17.8,0.84,0.73
0.0,335.96,0.0,0.0,18.5,0.73,0.73
0.0,331.33,0.0,0.0,17.2,0.73,0.71
0.0,326.38,0.0,0.0,16.1,0.71,0.61
0.0,327.92,0.0,0.0,19.4,0.61,0.64
0.0,321.0,0.0,0.0,21.2,0.64,0.83
0.0,308.25,0.0,0.0,23.0,0.83,0.65
0.0,258.5,2.5,0.0,21.5,0.65,0.49
0.0,199.25,0.0,0.0,20.2,0.49,0.47
0.0,194.21,2.5,0.0,15.8,0.47,0.4
0.0,169.12,7.6,0.0,13.2,0.4,0.62
0.0,132.04,2.5,0.0,10.2,0.62,0.93
0.0,268.58,0.0,0.0,12.2,0.93,2.31
0.0,315.5,0.0,0.0,15.8,2.31,1.94
0.0,303.75,0.0,0.0,17.1,1.94,1.52
0.0,300.46,0.0,0.0,16.0,1.52,1.26
0.0,308.21,0.0,0.0,14.0,1.26,1.06
0.0,279.54,0.0,0.0,12.4,1.06,0.94
0.0,298.54,0.0,0.0,16.5,0.94,1.0
0.0,306.71,0.0,0.0,17.2,1.0,1.07
0.0,296.29,0.0,0.0,20.4,1.07,1.03
0.0,262.17,0.0,0.0,15.7,1.03,0.89
0.0,272.0,0.0,0.0,11.9,0.89,0.81
0.0,283.08,0.0,0.0,15.3,0.81,0.96
0.0,273.33,0.0,0.0,14.9,0.96,1.15
0.0,238.88,0.0,0.0,11.3,1.15,1.09
0.0,294.29,0.0,0.0,13.1,1.09,1.24
0.0,294.33,0.0,0.0,16.8,1.24,1.0
0.0,289.54,0.0,0.0,20.5,1.0,0.96
0.0,79.38,0.0,0.0,16.0,0.96,0.87
0.0,252.75,0.0,0.0,17.2,0.87,0.74
0.0,271.79,0.0,0.0,18.8,0.74,0.89
0.0,270.62,0.0,0.0,16.9,0.89,1.02
0.0,273.92,0.0,0.0,16.3,1.02,0.94
0.0,250.5,0.0,0.0,18.5,0.94,0.99
0.0,270.67,0.0,0.0,16.2,0.99,0.8
0.0,190.25,0.0,0.0,19.4,0.8,0.74
0.0,172.33,2.5,0.0,15.4,0.74,0.78
0.0,215.12,0.0,0.0,17.1,0.78,0.92
0.0,50.88,15.2,0.0,9.3,0.92,1.29
0.0,157.5,2.5,0.0,8.1,1.29,3.42
0.0,123.5,10.2,0.0,8.1,3.42,3.25
0.0,114.29,0.0,0.0,9.0,3.25,3.12
0.0,242.83,0.0,0.0,13.5,3.12,3.36
0.0,138.67,0.0,0.0,11.6,3.36,2.71
0.0,179.75,0.0,0.0,13.2,2.71,2.59
0.0,218.88,0.0,0.0,12.5,2.59,3.09
0.0,55.33,0.0,0.0,6.2,3.09,2.63
0.0,161.25,0.0,0.0,7.1,2.63,3.21
0.0,118.79,10.2,0.0,6.5,3.21,3.09
0.0,134.0,2.5,0.0,6.5,3.09,3.05
0.0,86.21,0.0,0.0,7.1,3.05,3.05
0.0,217.17,0.0,0.0,10.0,3.05,2.95
0.0,148.38,0.0,0.0,10.4,2.95,2.71
0.0,173.25,0.0,0.0,8.1,2.71,2.68
0.0,171.62,0.0,0.0,9.3,2.68,2.34
0.0,214.62,0.0,0.0,8.2,2.34,2.12
0.0,86.83,0.0,0.0,9.0,2.12,2.03
0.0,207.29,0.0,0.0,5.3,2.03,2.08
12.7,42.29,17.8,127.0,0.1,2.08,2.14
17.8,55.75,7.6,127.0,-1.6,2.14,2.58
17.8,65.88,2.5,102.0,-0.9,2.58,3.17
17.8,71.46,0.0,102.0,-1.2,3.17,3.09
10.2,199.21,0.0,51.0,2.4,3.09,2.76
7.6,87.62,2.5,25.0,4.0,2.76,2.65
5.1,92.71,0.0,25.0,2.3,2.65,2.51
5.1,92.42,0.0,25.0,3.0,2.51,2.32
0.0,193.29,0.0,0.0,6.4,2.32,1.9
2.5,186.33,2.5,0.0,9.2,1.9,1.68
17.8,69.83,35.6,152.0,2.2,1.68,1.73
20.3,113.71,7.6,102.0,-4.6,1.73,1.83
20.3,191.17,2.5,76.0,-1.4,1.83,2.73
20.3,185.21,0.0,76.0,3.5,2.73,2.5
17.8,161.0,2.5,76.0,6.9,2.5,2.3
10.2,65.88,0.0,51.0,5.7,2.3,2.28
