WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
0.0,141.58,7.6,0.0,8.1,0.96,0.93
0.0,178.12,0.0,0.0,8.4,0.93,0.95
0.0,278.38,0.0,0.0,10.7,0.95,0.91
0.0,293.08,0.0,0.0,11.6,0.91,0.87
0.0,175.58,0.0,0.0,8.9,0.87,0.87
0.0,258.12,0.0,0.0,8.3,0.87,0.87
0.0,180.46,0.0,0.0,9.7,0.87,0.86
0.0,223.62,10.2,0.0,11.6,0.86,0.85
0.0,108.58,10.2,0.0,10.8,0.85,0.82
0.0,182.96,0.0,0.0,10.9,0.82,0.83
0.0,296.25,0.0,0.0,13.3,0.83,0.85
0.0,300.12,0.0,0.0,12.8,0.85,0.8
0.0,343.21,0.0,0.0,13.2,0.8,0.79
0.0,105.29,7.6,0.0,10.9,0.79,0.79
0.0,180.71,0.0,0.0,11.6,0.79,0.77
0.0,74.29,25.4,0.0,9.7,0.77,0.74
0.0,262.71,0.0,0.0,8.4,0.74,0.74
0.0,289.29,0.0,0.0,8.3,0.74,0.75
0.0,366.29,0.0,0.0,14.5,0.75,0.75
0.0,362.79,0.0,0.0,17.6,0.75,0.74
0.0,357.79,0.0,0.0,15.9,0.74,0.74
0.0,296.25,0.0,0.0,12.9,0.74,1.02
0.0,345.5,0.0,0.0,11.5,1.02,1.19
0.0,356.67,0.0,0.0,17.9,1.19,1.2
0.0,354.71,0.0,0.0,18.5,1.2,0.99
0.0,297.71,2.5,0.0,11.9,0.99,0.77
0.0,350.0,0.0,0.0,13.4,0.77,0.76
0.0,348.17,0.0,0.0,14.5,0.76,0.73
0.0,333.04,0.0,0.0,11.7,0.73,0.76
0.0,292.71,0.0,0.0,13.8,0.76,0.73
0.0,341.62,0.0,0.0,15.3,0.73,0.72
0.0,195.79,2.5,0.0,12.4,0.72,0.68
0.0,319.33,0.0,0.0,15.0,0.68,0.69
0.0,333.71,0.0,0.0,19.2,0.69,0.68
0.0,330.0,0.0,0.0,20.4,0.68,0.69
0.0,328.42,0.0,0.0,20.0,0.69,0.67
0.0,325.79,0.0,0.0,17.0,0.67,0.66
0.0,251.0,5.1,0.0,11.9,0.66,0.68
0.0,244.54,10.2,0.0,12.0,0.68,0.71
0.0,140.58,2.5,0.0,11.3,0.71,0.73
0.0,127.62,0.0,0.0,9.8,0.73,0.84
0.0,208.25,0.0,0.0,11.9,0.84,0.81
0.0,311.46,0.0,0.0,15.9,0.81,0.75
0.0,287.25,0.0,0.0,15.9,0.75,0.72
0.0,295.62,0.0,0.0,13.1,0.72,0.69
0.0,281.25,2.5,0.0,10.2,0.69,0.69
0.0,204.38,0.0,0.0,9.6,0.69,0.69
0.0,296.96,0.0,0.0,12.5,0.69,0.7
0.0,307.42,0.0,0.0,13.4,0.7,0.68
0.0,258.17,0.0,0.0,16.4,0.68,0.69
0.0,95.62,15.2,0.0,11.6,0.69,0.68
0.0,214.04,0.0,0.0,9.8,0.68,0.71
0.0,271.38,0.0,0.0,15.4,0.71,0.72
0.0,217.88,0.0,0.0,12.1,0.72,0.69
0.0,276.96,0.0,0.0,10.5,0.69,0.7
0.0,297.33,0.0,0.0,15.1,0.7,0.71
0.0,299.08,0.0,0.0,18.8,0.71,0.72
0.0,294.75,0.0,0.0,21.3,0.72,0.71
0.0,135.88,7.6,0.0,15.7,0.71,0.72
0.0,221.12,0.0,0.0,12.7,0.72,0.73
0.0,232.71,0.0,0.0,14.6,0.73,0.75
0.0,210.04,0.0,0.0,13.3,0.75,0.7
0.0,221.75,0.0,0.0,13.8,0.7,0.69
0.0,262.5,0.0,0.0,14.8,0.69,0.7
0.0,277.5,0.0,0.0,14.7,0.7,0.75
0.0,198.88,0.0,0.0,19.6,0.75,0.73
0.0,215.88,0.0,0.0,16.0,0.73,0.75
0.0,174.96,0.0,0.0,15.0,0.75,0.72
0.0,86.08,25.4,0.0,8.9,0.72,0.89
0.0,56.71,55.9,0.0,7.9,0.89,1.0
0.0,116.12,7.6,0.0,8.1,1.0,0.96
0.0,134.38,0.0,0.0,8.9,0.96,0.97
0.0,244.29,0.0,0.0,12.3,0.97,0.93
0.0,159.08,2.5,0.0,10.2,0.93,0.93
0.0,175.17,0.0,0.0,10.5,0.93,0.91
0.0,61.33,55.9,0.0,7.1,0.91,0.92
0.0,84.38,5.1,0.0,6.2,0.92,0.96
0.0,38.62,83.8,0.0,6.6,0.96,0.97
0.0,69.83,33.0,0.0,6.5,0.97,1.02
0.0,124.29,0.0,0.0,7.7,1.02,1.04
0.0,161.54,0.0,0.0,7.8,1.04,0.97
0.0,201.25,0.0,0.0,9.0,0.97,0.97
0.0,47.83,20.3,0.0,8.6,0.97,0.95
0.0,121.54,5.1,0.0,6.7,0.95,1.0
0.0,206.42,2.5,0.0,9.3,1.0,0.96
0.0,203.5,0.0,0.0,9.1,0.96,0.95
0.0,106.25,5.1,0.0,9.5,0.95,0.99
0.0,90.29,10.2,0.0,4.0,0.99,0.98
0.0,93.17,10.2,0.0,1.5,0.98,1.07
5.1,92.96,7.6,25.0,0.2,1.07,1.12
0.0,100.17,0.0,0.0,0.9,1.12,1.08
0.0,130.75,0.0,0.0,3.4,1.08,1.05
0.0,165.96,0.0,0.0,4.6,1.05,1.04
0.0,58.92,25.4,0.0,2.8,1.04,1.02
0.0,38.5,12.7,0.0,3.2,1.02,0.95
0.0,56.58,2.5,0.0,4.4,0.95,0.92
0.0,138.83,0.0,0.0,8.4,0.92,0.91
0.0,47.88,15.2,0.0,8.6,0.91,0.97
0.0,36.62,12.7,0.0,0.9,0.97,1.21
0.0,88.62,0.0,0.0,0.2,1.21,1.23
0.0,190.46,0.0,0.0,3.5,1.23,1.14
0.0,183.58,0.0,0.0,7.1,1.14,1.08
0.0,144.71,0.0,0.0,7.6,1.08,1.1
0.0,76.79,0.0,0.0,5.0,1.1,1.09
0.0,152.67,0.0,0.0,5.5,1.09,1.07
0.0,97.88,0.0,0.0,8.1,1.07,1.04
0.0,16.08,43.2,0.0,6.1,1.04,1.06
0.0,16.75,68.6,0.0,3.3,1.06,1.14
10.2,21.33,71.1,25.0,2.3,1.14,1.16
22.9,16.58,45.7,51.0,1.6,1.16,2.87
20.3,18.29,22.9,51.0,2.6,2.87,4.69
7.6,42.08,12.7,0.0,5.6,4.69,2.38
0.0,142.12,20.3,0.0,7.9,2.38,3.03
0.0,143.29,2.5,0.0,6.2,3.03,2.87
0.0,65.42,0.0,0.0,10.9,2.87,2.17
0.0,35.12,0.0,0.0,7.9,2.17,1.87
0.0,93.04,0.0,25.0,1.7,1.87,1.83
10.2,137.54,0.0,25.0,1.6,1.83,1.68
2.5,120.92,0.0,25.0,1.9,1.68,1.57
50.8,148.88,0.0,51.0,-2.2,1.57,1.54
12.7,135.46,0.0,25.0,3.6,1.54,1.49
10.2,105.54,0.0,25.0,5.7,1.49,1.46
0.0,124.42,0.0,0.0,7.4,1.46,1.43
0.0,123.54,0.0,0.0,10.0,1.43,1.4
0.0,93.5,0.0,25.0,8.9,1.4,1.37
0.0,102.96,0.0,25.0,10.4,1.37,1.35
0.0,119.71,0.0,25.0,12.1,1.35,1.35
0.0,108.04,0.0,0.0,8.2,1.35,1.37
0.0,96.0,0.0,0.0,9.9,1.37,1.33
0.0,94.75,0.0,0.0,11.0,1.33,1.32
0.0,25.12,7.6,0.0,6.9,1.32,1.31
0.0,78.62,0.0,0.0,6.8,1.31,1.35
0.0,89.12,0.0,0.0,7.2,1.35,1.36
0.0,41.71,5.1,0.0,6.3,1.36,1.37
0.0,105.62,0.0,0.0,6.3,1.37,1.38
0.0,75.54,0.0,0.0,7.4,1.38,1.34
0.0,26.79,15.2,0.0,4.6,1.34,1.42
0.0,65.5,2.5,0.0,4.7,1.42,1.49
0.0,24.88,5.1,0.0,7.1,1.49,1.46
0.0,24.96,22.9,0.0,6.6,1.46,1.42
0.0,29.0,20.3,0.0,2.4,1.42,1.66
0.0,33.92,2.5,0.0,3.8,1.66,1.91
10.2,76.42,0.0,0.0,5.9,1.91,1.83
22.9,89.25,2.5,25.0,3.9,1.83,1.75
0.0,72.54,0.0,0.0,4.0,1.75,1.67
17.8,59.67,12.7,0.0,1.1,1.67,1.6
33.0,9.92,10.2,102.0,-1.2,1.6,1.64
45.7,36.08,7.6,127.0,-3.0,1.64,1.61
61.0,66.96,0.0,102.0,-3.0,1.61,1.56
81.3,80.08,0.0,102.0,-3.3,1.56,1.52
104.1,90.29,0.0,102.0,-2.7,1.52,1.49
119.4,88.79,2.5,102.0,-2.7,1.49,1.48
116.8,41.92,10.2,178.0,-1.1,1.48,1.47
106.7,85.29,2.5,178.0,3.7,1.47,1.43
99.1,53.42,0.0,127.0,5.0,1.43,1.4
81.3,52.42,0.0,127.0,5.0,1.4,1.41
76.2,30.21,0.0,127.0,4.9,1.41,1.41
73.7,40.17,5.1,102.0,4.7,1.41,1.41
66.0,44.29,25.4,76.0,2.8,1.41,1.46
61.0,68.67,0.0,51.0,1.8,1.46,1.5
104.1,79.21,0.0,102.0,2.9,1.5,1.47
106.7,30.92,10.2,102.0,2.4,1.47,1.43
127.0,12.75,35.6,203.0,1.5,1.43,1.38
154.9,9.08,45.7,305.0,1.0,1.38,1.69
157.5,27.33,15.2,356.0,-0.4,1.69,2.14
152.4,25.17,7.6,356.0,-1.8,2.14,2.2
152.4,25.83,0.0,381.0,-3.0,2.2,2.18
149.9,44.33,2.5,381.0,0.3,2.18,2.03
149.9,48.38,0.0,381.0,2.5,2.03,1.93
157.5,39.21,12.7,457.0,0.7,1.93,1.85
193.0,19.88,109.2,381.0,2.0,1.85,2.03
162.6,22.79,144.8,330.0,4.4,2.03,2.1
162.6,33.21,43.2,356.0,1.4,2.1,2.23
170.2,32.08,7.6,305.0,0.9,2.23,2.35
