WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
127.0,63.17,2.5,145.21,-1.3,52.1,32.47
127.0,130.17,0.0,149.89,-1.5,32.47,19.99
137.2,108.38,0.0,154.58,-1.5,19.99,14.91
116.8,128.67,0.0,159.26,-3.6,14.91,11.27
119.4,112.08,0.0,163.95,3.1,11.27,9.28
129.5,102.92,2.5,168.63,2.4,9.28,7.87
127.0,102.29,0.0,173.32,4.6,7.87,6.66
127.0,109.29,0.0,178.0,5.9,6.66,5.76
121.9,86.83,0.0,152.0,3.9,5.76,5.23
121.9,77.75,0.0,127.0,5.2,5.23,4.7
119.4,105.29,0.0,127.0,5.1,4.7,4.42
111.8,104.25,0.0,127.0,4.3,4.42,4.0
109.2,72.04,0.0,127.0,7.8,4.0,3.53
109.2,81.21,0.0,102.0,9.0,3.53,3.06
104.1,28.79,0.0,76.0,3.0,3.06,3.35
101.6,73.25,0.0,51.0,2.3,3.35,3.83
99.1,48.21,5.1,51.0,5.0,3.83,3.28
109.2,28.21,0.0,51.0,2.0,3.28,3.48
111.8,69.58,0.0,51.0,2.7,3.48,3.23
109.2,53.71,10.2,51.0,6.6,3.23,2.79
124.5,18.38,0.0,25.0,2.0,2.79,6.57
132.1,33.62,20.3,76.0,1.0,6.57,10.17
142.2,34.04,10.2,51.0,3.2,10.17,56.34
144.8,21.5,7.6,127.0,2.4,56.34,31.86
149.9,56.67,0.0,152.0,-0.5,31.86,27.23
147.3,87.25,0.0,127.0,0.0,27.23,16.98
144.8,84.79,2.5,127.0,5.8,16.98,12.38
139.7,80.42,2.5,127.0,2.5,12.38,9.29
180.3,30.83,10.2,152.0,0.2,9.29,7.9
195.6,19.83,10.2,254.0,-1.9,7.9,14.88
203.2,29.12,0.0,356.0,-3.6,14.88,12.03
200.7,58.38,0.0,356.0,-7.1,12.03,9.8
198.1,35.92,0.0,356.0,-8.3,9.8,7.7
190.5,76.04,0.0,330.0,-9.0,7.7,5.76
190.5,78.29,0.0,330.0,-7.2,5.76,4.4
195.6,43.25,5.1,330.0,-3.4,4.4,3.64
203.2,45.5,2.5,330.0,-2.5,3.64,3.17
203.2,23.12,5.1,356.0,0.3,3.17,3.4
241.3,22.79,5.1,381.0,1.5,3.4,13.59
251.5,32.54,2.5,356.0,1.0,13.59,37.99
246.4,40.21,2.5,356.0,1.4,37.99,25.21
241.3,26.5,2.5,330.0,3.1,25.21,18.74
236.2,19.54,2.5,279.0,0.9,18.74,17.75
223.5,69.5,0.0,279.0,-0.4,17.75,14.64
228.6,65.25,0.0,330.0,2.3,14.64,11.16
233.7,47.96,5.1,279.0,1.5,11.16,9.03
236.2,24.21,22.9,356.0,-0.8,9.03,7.64
281.9,19.08,7.6,762.0,-1.2,7.64,10.23
307.3,36.67,0.0,762.0,-2.4,10.23,10.59
315.0,38.88,0.0,660.0,-3.4,10.59,9.37
320.0,38.67,0.0,686.0,-5.2,9.37,8.08
335.3,32.42,2.5,737.0,-3.2,8.08,6.65
345.4,17.83,2.5,711.0,-0.1,6.65,6.65
353.1,22.0,53.3,762.0,-0.8,6.65,6.74
408.9,25.04,83.8,1219.0,-1.4,6.74,7.28
543.6,17.42,15.2,1626.0,0.3,7.28,30.64
589.3,18.92,2.5,1753.0,-1.3,30.64,49.1
594.4,35.08,0.0,1727.0,-2.8,49.1,28.22
602.0,42.75,0.0,1702.0,-3.3,28.22,18.61
599.4,48.92,0.0,1651.0,-5.4,18.61,13.23
604.5,47.96,0.0,1575.0,-3.5,13.23,9.81
607.1,38.17,5.1,1626.0,-3.9,9.81,7.61
617.2,24.92,0.0,1626.0,-4.0,7.61,6.55
622.3,32.25,0.0,1600.0,-1.4,6.55,5.21
619.8,51.58,0.0,1549.0,1.9,5.21,4.53
635.0,17.58,35.6,1549.0,0.2,4.53,5.86
708.7,25.58,15.2,1753.0,-0.1,5.86,15.05
749.3,35.83,7.6,1905.0,-0.4,15.05,50.32
774.7,35.42,17.8,1930.0,-4.0,50.32,33.16
795.0,16.62,25.4,1981.0,1.5,33.16,32.27
861.1,31.54,7.6,2413.0,-3.7,32.27,38.27
899.2,23.75,0.0,2464.0,-3.9,38.27,27.31
962.7,22.21,40.6,2616.0,-1.2,27.31,23.32
1043.9,17.25,0.0,2743.0,0.3,23.32,45.04
1059.2,43.62,2.5,2921.0,-5.7,45.04,42.57
1061.7,51.0,22.9,2794.0,-7.5,42.57,26.84
1104.9,21.08,10.2,2819.0,-4.5,26.84,19.93
1140.5,34.12,15.2,2946.0,-3.5,19.93,16.9
1181.1,33.54,0.0,3226.0,-5.8,16.9,14.69
1193.8,37.5,5.1,3150.0,-14.6,14.69,12.0
1209.0,28.79,25.4,3175.0,-11.0,12.0,10.08
1242.1,25.79,15.2,3404.0,-7.8,10.08,10.07
1254.8,36.17,5.1,3353.0,-5.5,10.07,9.17
1267.5,52.12,22.9,3353.0,-7.0,9.17,8.31
1305.6,40.17,2.5,3353.0,-1.6,8.31,8.4
1308.1,32.79,5.1,3251.0,1.3,8.4,8.77
1315.7,30.67,20.3,3175.0,1.6,8.77,12.24
1364.0,42.88,25.4,3277.0,-0.9,12.24,14.85
1417.3,28.0,22.9,3556.0,-1.2,14.85,16.9
1452.9,26.25,15.2,3378.0,1.6,16.9,43.32
1483.4,35.58,0.0,3327.0,0.1,43.32,67.64
1485.9,53.38,17.8,3327.0,0.0,67.64,45.98
1516.4,49.42,33.0,3429.0,-0.7,45.98,32.77
1572.3,69.29,5.1,3708.0,-2.0,32.77,28.74
1579.9,62.21,10.2,3632.0,-0.4,28.74,24.56
1615.4,38.75,5.1,3683.0,-1.2,24.56,23.14
1645.9,78.71,58.4,3734.0,-2.2,23.14,20.22
1709.4,24.08,55.9,3531.0,2.4,20.22,63.21
1750.1,25.17,2.5,3531.0,-2.3,63.21,245.24
1747.5,76.75,0.0,3454.0,-7.1,245.24,65.02
1752.6,74.33,10.2,3404.0,-7.8,65.02,35.83
1770.4,30.58,15.2,3454.0,-6.6,35.83,24.31
1805.9,25.83,10.2,3531.0,-1.3,24.31,19.46
1844.0,46.58,12.7,3683.0,-0.9,19.46,16.22
1839.0,28.83,12.7,3708.0,-0.7,16.22,15.14
1866.9,73.0,0.0,3759.0,-3.4,15.14,16.41
1864.4,56.5,2.5,3734.0,-4.9,16.41,13.07
1864.4,110.0,0.0,3683.0,-2.4,13.07,10.96
1866.9,50.71,0.0,3632.0,-2.7,10.96,9.99
1864.4,116.83,2.5,3632.0,-2.4,9.99,8.8
1877.1,74.12,2.5,3658.0,-3.1,8.8,8.13
1912.6,80.75,5.1,3886.0,-3.9,8.13,7.75
1932.9,70.67,2.5,4013.0,-2.8,7.75,7.42
1958.3,65.58,0.0,4115.0,-4.8,7.42,7.05
1963.4,78.71,0.0,4089.0,-5.4,7.05,6.6
1960.9,140.96,0.0,4039.0,-5.9,6.6,5.87
1960.9,146.0,0.0,3962.0,0.9,5.87,5.49
1960.9,152.46,0.0,3912.0,0.5,5.49,5.28
1958.3,124.54,2.5,3861.0,0.3,5.28,5.13
1960.9,106.58,27.9,3810.0,-2.4,5.13,5.17
2037.1,63.62,5.1,4216.0,-3.2,5.17,5.61
2067.6,52.38,0.0,4343.0,-5.3,5.61,6.68
2070.1,57.46,0.0,4267.0,-2.0,6.68,5.89
2072.6,111.75,2.5,4242.0,-1.2,5.89,5.45
2072.6,42.67,10.2,4166.0,-0.4,5.45,5.48
2077.7,100.79,10.2,4318.0,-0.4,5.48,5.67
2095.5,95.29,0.0,4318.0,-4.2,5.67,6.75
2103.1,87.08,7.6,4394.0,-5.3,6.75,6.4
2123.4,73.08,10.2,4445.0,-2.9,6.4,6.19
2141.2,99.25,5.1,4597.0,-1.2,6.19,6.61
2151.4,151.17,7.6,4547.0,-4.2,6.61,7.59
2181.9,63.08,10.2,4724.0,-0.5,7.59,7.14
2194.6,116.54,2.5,4801.0,-2.3,7.14,8.23
2202.2,97.62,0.0,4750.0,-4.0,8.23,7.35
2207.3,153.54,0.0,4699.0,-5.2,7.35,6.49
2207.3,200.08,7.6,4623.0,-5.2,6.49,5.7
2212.3,128.12,0.0,4674.0,-3.6,5.7,5.4
2225.0,117.67,0.0,4648.0,-3.7,5.4,5.23
2225.0,95.83,0.0,4597.0,-4.9,5.23,4.83
2225.0,101.62,0.0,4572.0,-7.7,4.83,4.44
2225.0,168.96,0.0,4597.0,-12.2,4.44,4.11
2192.0,213.96,0.0,4445.0,-7.5,4.11,3.68
2199.6,220.04,0.0,4420.0,0.0,3.68,3.38
2207.3,196.33,0.0,4394.0,2.7,3.38,3.38
2209.8,221.75,0.0,4343.0,1.3,3.38,3.41
2207.3,221.67,0.0,4318.0,2.6,3.41,3.72
2204.7,213.88,0.0,4267.0,2.6,3.72,4.32
2202.2,232.29,0.0,4242.0,1.6,4.32,5.27
2204.7,170.54,12.7,4216.0,0.9,5.27,6.47
2222.5,168.83,2.5,4267.0,-3.1,6.47,6.95
2230.1,142.33,0.0,4318.0,-3.2,6.95,6.96
2235.2,191.75,0.0,4267.0,-3.2,6.96,6.3
2242.8,108.04,0.0,4293.0,-3.5,6.3,5.84
2245.4,140.92,5.1,4216.0,-1.5,5.84,5.53
2278.4,103.71,17.8,4496.0,0.0,5.53,6.21
2316.5,156.67,38.1,4674.0,-1.1,6.21,11.74
2395.2,116.33,5.1,5182.0,-3.3,11.74,13.08
2415.5,185.62,2.5,5182.0,-3.2,13.08,12.23
2415.5,167.38,0.0,5029.0,-5.5,12.23,10.22
2418.1,175.33,5.1,4978.0,-4.8,10.22,8.72
2458.7,192.42,0.0,5207.0,-5.9,8.72,7.46
2458.7,237.62,0.0,5029.0,-3.6,7.46,6.49
2461.3,136.29,0.0,4928.0,-2.2,6.49,5.9
2461.3,218.88,0.0,4902.0,-0.6,5.9,5.26
2463.8,247.92,0.0,4801.0,-0.1,5.26,5.22
2453.6,274.25,0.0,4699.0,4.3,5.22,5.62
2440.9,276.88,0.0,4597.0,7.5,5.62,7.34
2430.8,176.12,0.0,4496.0,4.4,7.34,11.24
2440.9,278.25,0.0,4445.0,-0.3,11.24,13.87
2440.9,298.79,0.0,4420.0,-1.1,13.87,13.45
2435.9,290.0,0.0,4394.0,1.2,13.45,11.87
2423.2,227.04,0.0,4343.0,2.7,11.87,10.92
2425.7,219.79,0.0,4293.0,3.1,10.92,11.88
